"bird"	"csv"	"date"	"trial"	"lpath"	"rpath"	"lbucket"	"rbucket"	"optimal_r"	"lFR"	"rFR"	"RT"	"left"	"distance"	"session"	"phase"	"psession"	"optimal"	"ros"
"44W"	"I_Train.csv"	"08/15/15"	48	2	3	1	7	1	1	1	0.766	1	-6	3	"Training 1"	3	"R"	0.875
"44W"	"I_Train.csv"	"08/15/15"	49	2	3	2	7	1	1	1	1.551	0	-5	3	"Training 1"	3	"R"	0.777777777777778
"44W"	"I_Train.csv"	"08/15/15"	50	2	3	10	8	-1	1	1	3.788	0	2	3	"Training 1"	3	"L"	0.444444444444444
"44W"	"I_Train.csv"	"08/15/15"	51	2	3	7	5	-1	1	1	0.712	0	2	3	"Training 1"	3	"L"	0.416666666666667
"44W"	"I_Train.csv"	"08/15/15"	52	2	3	3	10	1	1	1	0.966	0	-7	3	"Training 1"	3	"R"	0.769230769230769
"44W"	"I_Train.csv"	"08/15/15"	53	2	3	9	4	-1	1	1	2.445	0	5	3	"Training 1"	3	"L"	0.307692307692308
"44W"	"I_Train.csv"	"08/15/15"	54	2	3	3	1	-1	1	1	2.404	0	2	3	"Training 1"	3	"L"	0.25
"44W"	"I_Train.csv"	"08/15/15"	55	2	3	10	3	-1	1	1	0.748	1	7	3	"Training 1"	3	"L"	0.230769230769231
"44W"	"I_Train.csv"	"08/15/15"	56	2	3	2	10	1	1	1	0.792	0	-8	3	"Training 1"	3	"R"	0.833333333333333
"44W"	"I_Train.csv"	"08/15/15"	57	2	3	3	3	0	1	1	1.75	0	0	3	"Training 1"	3	"N"	0.5
"44W"	"I_Train.csv"	"08/15/15"	58	2	3	4	8	1	1	1	1.037	0	-4	3	"Training 1"	3	"R"	0.666666666666667
"44W"	"I_Train.csv"	"08/15/15"	59	2	3	7	10	1	1	1	1.669	0	-3	3	"Training 1"	3	"R"	0.588235294117647
"44W"	"I_Train.csv"	"08/15/15"	60	2	3	2	2	0	1	1	1.431	0	0	3	"Training 1"	3	"N"	0.5
"44W"	"I_Train.csv"	"08/15/15"	61	2	3	10	7	-1	1	1	0.746	1	3	3	"Training 1"	3	"L"	0.411764705882353
"44W"	"I_Train.csv"	"08/15/15"	62	2	3	5	3	-1	1	1	2.418	0	2	3	"Training 1"	3	"L"	0.375
